,CMUIR-C-NU-Base-1,CMUIR-C-NU-Base-2,CMUIR-C-NU-Base-3,CMUIR-C-NU-Base-4,CMUIR-C-NU-Base-5,RUCIR-C-NU-Base-1,RUCIR-C-NU-Base-2,RUCIR-C-NU-Base-3,RUCIR-C-NU-Base-4,RUCIR-C-NU-Base-5,SLWWW-C-NU-Base-1,SLWWW-C-NU-Base-2,SLWWW-C-NU-Base-3,SLWWW-C-NU-Base-4,THUIR-C-CU-Base-1,THUIR-C-CU-Base-2,THUIR-C-CU-Base-3,THUIR-C-CU-Base-4,THUIR-C-CU-Base-5
0001,0.5703,0.4857,0.6305,0.5988,0.7171,0.7796,0.7058,0.6209,0.6053,0.5171,0.1300,0.1300,0.1300,0.1300,0.5499,0.4264,0.5826,0.2981,0.2981
0002,0.6741,0.5972,0.6741,0.5972,0.5972,0.9698,0.3822,0.4239,0.7813,0.6819,0.1486,0.1486,0.3486,0.3486,0.1166,0.4417,0.2620,0.7291,0.7291
0003,0.4257,0.4681,0.2717,0.3262,0.2994,0.2641,0.3817,0.4521,0.2494,0.2797,0.4510,0.4510,0.4614,0.4614,0.6368,0.3585,0.6328,0.3645,0.3645
0004,0.5898,0.6543,0.4373,0.5996,0.2681,0.9074,0.4272,0.7167,1.0000,0.5647,0.3167,0.3167,0.1818,0.1818,1.0000,0.3220,0.8475,0.4771,0.4771
0005,0.6710,0.6945,0.5914,0.6282,0.6613,0.6383,0.7120,0.6090,0.6418,0.7655,0.5635,0.5635,0.6183,0.6183,0.6325,0.5732,0.5466,0.5134,0.5134
0006,0.6256,0.6304,0.6815,0.8415,0.7041,0.8628,0.7943,0.8240,0.6072,0.7965,0.5216,0.5216,0.5457,0.5457,0.4301,0.6696,0.6381,0.6118,0.6118
0007,0.7853,0.8044,0.9105,0.8850,0.8224,0.5003,0.2327,0.4386,0.6955,0.4809,0.6745,0.2235,0.1049,0.6323,0.5706,0.3495,0.5674,0.6033,0.6033
0008,0.5785,0.5417,0.5994,0.5315,0.7573,0.6670,0.3768,0.5279,0.5902,0.4767,0.2772,0.2772,0.2520,0.2520,0.4470,0.3376,0.4437,0.4462,0.4462
0009,0.8188,0.9779,0.7784,0.9189,0.8113,0.9183,0.8445,0.7184,0.8831,0.8447,0.0312,0.1030,0.0602,0.0602,0.6037,0.5040,0.7029,0.8263,0.8263
0010,0.5843,0.6453,0.7270,0.8586,0.3961,0.7885,0.8317,0.6008,0.6454,0.6352,0.3497,0.3497,0.0597,0.0597,0.9312,0.7479,0.9347,0.8912,0.8912
