,CMUIR-C-NU-Base-1,CMUIR-C-NU-Base-2,CMUIR-C-NU-Base-3,CMUIR-C-NU-Base-4,CMUIR-C-NU-Base-5,RUCIR-C-NU-Base-1,RUCIR-C-NU-Base-2,RUCIR-C-NU-Base-3,RUCIR-C-NU-Base-4,RUCIR-C-NU-Base-5,SLWWW-C-NU-Base-1,SLWWW-C-NU-Base-2,SLWWW-C-NU-Base-3,SLWWW-C-NU-Base-4,THUIR-C-CU-Base-1,THUIR-C-CU-Base-2,THUIR-C-CU-Base-3,THUIR-C-CU-Base-4,THUIR-C-CU-Base-5
0001,0.5992,0.5015,0.6646,0.6784,0.7849,0.8131,0.7071,0.6641,0.6866,0.4955,0.0700,0.0700,0.0700,0.0700,0.5438,0.4736,0.5197,0.2470,0.2470
0002,0.6893,0.6667,0.6893,0.6667,0.6667,0.9763,0.4287,0.4191,0.7611,0.6546,0.0697,0.0697,0.3460,0.3460,0.1250,0.3014,0.2733,0.8215,0.8215
0003,0.4913,0.5119,0.3350,0.3793,0.3724,0.3044,0.4295,0.5290,0.3137,0.2754,0.5144,0.5144,0.5164,0.5164,0.7203,0.4155,0.7194,0.3523,0.3523
0004,0.6225,0.6140,0.5101,0.4988,0.1770,0.8843,0.4823,0.7647,1.0000,0.6162,0.3647,0.3647,0.2162,0.2162,1.0000,0.3675,0.8938,0.5069,0.5069
0005,0.7009,0.6863,0.6318,0.6578,0.7024,0.6646,0.7151,0.6334,0.6282,0.7804,0.6004,0.6004,0.6457,0.6457,0.6725,0.5875,0.4661,0.4853,0.4853
0006,0.6603,0.6736,0.7191,0.8911,0.7406,0.8956,0.7840,0.8538,0.6302,0.8288,0.5749,0.5749,0.5739,0.5739,0.4822,0.7179,0.6793,0.6685,0.6685
0007,0.8320,0.7657,0.9374,0.8823,0.7871,0.5629,0.2252,0.5200,0.7276,0.4684,0.7126,0.2254,0.1391,0.7071,0.6224,0.3564,0.6560,0.6001,0.6001
0008,0.6142,0.5721,0.6660,0.5851,0.7932,0.6913,0.4386,0.5718,0.6298,0.4811,0.3184,0.3184,0.2985,0.2985,0.5042,0.4067,0.5062,0.4916,0.4916
0009,0.8753,0.9937,0.7699,0.9435,0.7893,0.9547,0.8637,0.7452,0.8798,0.8473,0.0227,0.1733,0.0653,0.0653,0.6854,0.5132,0.7456,0.8451,0.8451
0010,0.6102,0.6349,0.7712,0.8706,0.4497,0.7886,0.8605,0.6322,0.6754,0.6534,0.3623,0.3623,0.0291,0.0291,0.9370,0.7419,0.9465,0.9361,0.9361
0011,0.8698,0.7849,0.9048,0.7861,0.6259,0.7445,0.8850,0.6237,0.8478,0.8264,0.1720,0.1720,0.1565,0.1565,0.3960,0.1519,0.8426,0.5105,0.5105
0012,0.9314,0.9479,0.9366,0.6294,0.4059,0.6188,0.9376,0.5166,0.9213,0.4395,0.1799,0.1799,0.2047,0.2047,0.7596,0.6149,0.6007,0.7440,0.7440
0013,0.5630,0.7396,0.6569,0.7522,0.7427,0.4760,0.4738,0.7253,0.4553,0.5940,0.0798,0.0798,0.1795,0.1795,0.4252,0.1188,0.3733,0.0169,0.0169
0014,0.4138,0.4476,0.6580,0.8561,0.4413,0.6469,0.9594,0.6011,0.3860,0.3772,0.0200,0.0200,0.0147,0.0147,0.4161,0.3625,0.2521,0.1290,0.1290
0015,0.3481,0.6409,0.2257,0.5251,0.3745,0.4069,0.5194,0.3390,0.1768,0.2611,0.0056,0.0165,0.0250,0.0056,0.0958,0.1058,0.1554,0.1823,0.1823
0016,0.6052,0.6669,0.6441,0.4544,0.6183,0.5848,0.5536,0.2809,0.9164,0.8491,0.1831,0.1831,0.0278,0.0278,0.5880,0.8956,0.7432,0.6796,0.6796
0017,0.3743,0.5813,0.5204,0.5114,0.5402,0.1361,0.7088,0.5608,0.2510,0.4512,0.3165,0.3165,0.2246,0.2246,0.5373,0.3738,0.1264,0.4669,0.4669
0018,0.6830,0.7055,0.7234,0.7071,0.5468,0.6988,0.6059,0.7228,0.7571,0.5759,0.0094,0.0094,0.6449,0.6449,0.5508,0.7729,0.5664,0.6014,0.6014
0019,0.6190,0.6214,0.5337,0.3432,0.4172,0.6142,0.8022,0.5710,0.6314,0.6110,0.5618,0.3564,0.3281,0.6204,0.5914,0.6312,0.6163,0.3846,0.3846
0020,0.6209,0.5842,0.7010,0.7714,0.5622,0.5060,0.4097,0.2058,0.4144,0.6262,0.4761,0.4761,0.4234,0.4234,0.3393,0.2433,0.2769,0.2754,0.2754
0021,0.7550,0.8897,0.7368,0.6609,0.7086,0.7857,0.7005,0.5010,0.5965,0.6590,0.7007,0.6270,0.3089,0.7438,0.4005,0.6043,0.6394,0.6567,0.6567
0022,0.6771,0.4696,0.4751,0.4568,0.6423,0.5465,0.5379,0.5289,0.4158,0.5875,0.6034,0.6034,0.7702,0.7702,0.3312,0.2505,0.1694,0.5207,0.5207
0023,0.5771,0.4344,0.6062,0.5379,0.6307,0.6977,0.7211,0.6806,0.3337,0.6535,0.4721,0.4721,0.4697,0.4697,0.6639,0.7265,0.4092,0.6503,0.6503
0024,0.7075,0.8829,0.8311,0.7910,0.6771,0.8665,0.6810,0.7299,0.8848,0.6791,0.1116,0.1116,0.0540,0.0540,0.5860,0.5351,0.3943,0.4946,0.4946
0025,0.5481,0.5335,0.5152,0.4749,0.6892,0.6638,0.8195,0.4146,0.6107,0.4355,0.6264,0.6264,0.6264,0.6264,0.4758,0.4716,0.2933,0.4654,0.4654
0026,0.5477,0.7957,0.5782,0.6381,0.5304,0.8039,0.8091,0.7847,0.8113,0.6003,0.0158,0.0158,0.0213,0.0213,0.6878,0.5431,0.5838,0.7494,0.7494
0027,0.6058,0.4379,0.7120,0.6171,0.6669,0.7099,0.4067,0.5999,0.5640,0.7745,0.2309,0.2309,0.1037,0.1037,0.5610,0.2325,0.2916,0.2625,0.2625
0028,0.2079,0.2890,0.3295,0.4725,0.7670,0.6380,0.3616,0.3189,0.2374,0.4519,0.0000,0.0000,0.0000,0.0000,0.0105,0.0043,0.0134,0.0346,0.0346
0029,0.6614,0.1348,0.3613,0.0927,0.6433,0.7335,0.7985,0.6007,0.9263,0.8325,0.1578,0.1578,0.0951,0.0951,0.0944,0.0300,0.0000,0.0024,0.0024
0030,0.3640,0.2784,0.2405,0.1706,0.3189,0.6494,0.6379,0.5578,0.7208,0.5906,0.0082,0.0082,0.0038,0.0038,0.5228,0.2223,0.1061,0.4229,0.4229
0031,0.9156,0.9153,0.9034,0.9204,0.9285,0.7105,0.6936,0.8051,0.7704,0.5866,0.1378,0.1378,0.2604,0.2604,0.7611,0.4742,0.7538,0.7569,0.7569
0032,0.7083,0.4372,0.5712,0.6797,0.5706,0.6175,0.5134,0.4368,0.6933,0.5958,0.0865,0.0865,0.0000,0.0000,0.2415,0.2280,0.4269,0.4459,0.4459
0033,0.8852,0.7930,0.7623,0.5704,0.7744,0.7021,0.6812,0.5966,0.6947,0.6203,0.6643,0.6519,0.6645,0.6645,0.7629,0.7517,0.7777,0.7674,0.7674
0034,0.8056,0.6772,0.4053,0.3246,0.3474,0.7028,0.7721,0.6270,0.7495,0.7826,0.3709,0.3709,0.3683,0.3683,0.4656,0.4928,0.4411,0.7853,0.7853
0035,0.6733,0.6418,0.7029,0.6176,0.6543,0.7588,0.6968,0.6901,0.6893,0.7568,0.4460,0.4460,0.4429,0.4429,0.3433,0.3936,0.3080,0.5544,0.5544
0036,0.7202,0.6670,0.5667,0.8786,0.4482,0.4141,0.8223,0.6309,0.4692,0.3183,0.1834,0.1834,0.1777,0.1777,0.7340,0.6774,0.4867,0.4945,0.4945
0037,0.5229,0.5071,0.3790,0.5045,0.3752,0.7392,0.5493,0.5187,0.4102,0.4112,0.1580,0.1580,0.2273,0.2273,0.3471,0.5169,0.4865,0.2662,0.2662
