,RMIT-E-NU-Own-1,RMIT-E-NU-Own-2,RMIT-E-NU-Own-3,RMIT-E-NU-Own-4,RUCIR-E-NU-Base-1,RUCIR-E-NU-Base-2,RUCIR-E-NU-Base-3,RUCIR-E-NU-Base-4,RUCIR-E-NU-Base-5,THUIR-E-PU-Base-1,THUIR-E-PU-Base-2,THUIR-E-PU-Base-3,THUIR-E-PU-Base-4
0001,0.8188,0.8171,0.8063,0.8677,0.6674,0.3167,0.5520,0.6552,0.4594,0.6902,0.9817,0.9198,0.6640
0002,0.7274,0.9337,0.2225,0.9658,0.9101,0.6059,0.8634,0.5430,0.6115,0.5124,0.5502,0.5502,0.6170
0003,0.4160,0.6874,0.5337,0.6977,0.7473,0.5011,0.6095,0.4203,0.3200,0.1191,0.7286,0.6897,0.1354
0004,0.4841,0.6181,0.3393,0.5746,0.5196,0.6349,0.5373,0.1946,0.1026,0.7745,0.7723,0.7872,0.6790
0005,0.6340,0.7493,0.7688,0.7754,0.4877,0.5446,0.5540,0.5438,0.6116,0.6867,0.8922,0.7608,0.6723
0006,0.5042,0.5363,0.3116,0.3893,0.0000,0.0000,0.4430,0.2405,0.3162,0.2424,0.7424,0.7385,0.5249
0007,0.2950,0.3904,0.3654,0.3283,0.3325,0.2502,0.1591,0.4792,0.4763,0.2618,0.4664,0.3135,0.2897
0008,0.7408,0.5441,0.5097,0.5373,0.5532,0.3825,0.2985,0.1747,0.1967,0.6680,0.0926,0.1927,0.0000
0009,0.6828,0.6588,0.6562,0.6316,0.8882,0.5263,0.5878,0.5997,0.4262,0.7256,0.8444,0.8728,0.4112
0010,0.6865,0.7874,0.9228,0.9228,0.4717,0.0722,0.4624,0.3157,0.4737,0.5558,0.4596,0.5031,0.3450
0011,0.1984,0.3259,0.2856,0.4949,0.8218,0.7100,0.4864,0.3426,0.4761,0.1693,0.4039,0.5388,0.2563
0012,0.8327,0.5893,0.6307,0.5400,0.3062,0.0000,0.0588,0.0000,0.0636,0.6134,0.6052,0.5599,0.0608
