,RMIT-E-NU-Own-1,RMIT-E-NU-Own-2,RMIT-E-NU-Own-3,RMIT-E-NU-Own-4,RUCIR-E-NU-Base-1,RUCIR-E-NU-Base-2,RUCIR-E-NU-Base-3,RUCIR-E-NU-Base-4,RUCIR-E-NU-Base-5,THUIR-E-PU-Base-1,THUIR-E-PU-Base-2,THUIR-E-PU-Base-3,THUIR-E-PU-Base-4
0001,0.7592,0.7592,0.7588,0.9998,0.8453,0.7505,0.4749,0.6321,0.4878,0.7081,1.0000,0.9991,0.8223
0002,0.7275,1.0000,0.3072,1.0000,0.8796,0.8294,0.9912,0.6365,0.9955,0.6502,0.5805,0.5805,0.6024
0003,0.6619,0.8611,0.8367,0.8765,0.8594,0.8464,0.7925,0.7190,0.6571,0.3615,0.8296,0.8288,0.3047
0004,0.6836,0.5179,0.2660,0.5177,0.6848,0.8333,0.5057,0.4154,0.1808,0.9981,0.9781,0.9974,0.9609
0005,0.8375,0.8585,0.8587,0.9899,0.5939,0.7257,0.6987,0.6681,0.8360,0.8594,0.9999,0.9981,0.8622
0006,0.6881,0.7059,0.4671,0.3929,0.0000,0.0000,0.7804,0.3862,0.4592,0.2398,0.9985,0.9972,0.8312
0007,0.3401,0.4615,0.4589,0.4561,0.3283,0.3978,0.1405,0.5242,0.6318,0.3819,0.3742,0.3400,0.3897
0008,0.8766,0.8704,0.8737,0.9889,0.9946,0.9402,0.3488,0.3595,0.4269,0.8277,0.1401,0.2356,0.0000
0009,0.8584,0.8577,0.8548,0.8760,0.9916,0.3937,0.8199,0.7264,0.3218,0.9786,0.9911,0.9999,0.7873
0010,0.4795,0.6369,0.9851,0.9851,0.4434,0.0444,0.4353,0.3717,0.4458,0.4582,0.4330,0.4419,0.4079
0011,0.4273,0.2862,0.2749,0.6365,0.9781,0.8732,0.4983,0.6197,0.6492,0.3496,0.3677,0.3908,0.2556
0012,0.9986,0.9743,0.9781,0.9821,0.4457,0.0000,0.1120,0.0000,0.0896,0.8577,0.9949,0.9931,0.1114
0013,0.8407,0.8220,0.7895,0.8224,0.7471,0.5436,0.9969,0.9840,0.9745,0.6599,0.8215,0.5405,0.4404
0014,0.4487,0.0000,0.0000,0.0000,0.2011,0.4146,0.0249,0.7466,0.4962,0.5339,0.2802,0.2027,0.4427
0015,0.7592,0.8626,0.8467,0.6225,0.8744,0.7546,0.6355,0.9901,0.9695,0.8387,1.0000,0.6389,0.5201
